Name,Sex,Date,StateChange
Elsa,Female,6/17/21,4
Felix,Male,6/17/21,10
Fiona,Female,6/17/21,14
Grouch,Male,6/17/21,4
Hubert,Male,6/17/21,4
Marlo,Female,6/17/21,8
Satan,Male,6/17/21,6
Ziggy,Male,6/17/21,12
Alvin,Male,6/18/21,8
April,Female,6/18/21,8
Betty,Female,6/18/21,22
Bugs,Male,6/18/21,4
Carmen,Female,6/18/21,6
Chip,Male,6/18/21,18
Dale,Male,6/18/21,0
Dot,Female,6/18/21,8
Elsa,Female,6/18/21,4
Felix,Male,6/18/21,8
Fiona,Female,6/18/21,6
Grouch,Male,6/18/21,2
Hubert,Male,6/18/21,5
Marlo,Female,6/18/21,5
Satan,Male,6/18/21,16
Ziggy,Male,6/18/21,6
Alvin,Male,6/19/21,12
April,Female,6/19/21,2
Betty,Female,6/19/21,3
Bugs,Male,6/19/21,5
Carmen,Female,6/19/21,12
Chip,Male,6/19/21,12
Dale,Male,6/19/21,0
Dot,Female,6/19/21,10
Elsa,Female,6/19/21,4
Felix,Male,6/19/21,7
Fiona,Female,6/19/21,11
Grouch,Male,6/19/21,6
Hubert,Male,6/19/21,1
Marlo,Female,6/19/21,7
Satan,Male,6/19/21,7
Ziggy,Male,6/19/21,7
Alvin,Male,6/20/21,16
April,Female,6/20/21,10
Betty,Female,6/20/21,22
Bugs,Male,6/20/21,6
Carmen,Female,6/20/21,22
Chip,Male,6/20/21,14
Dale,Male,6/20/21,14
Dot,Female,6/20/21,12
Elsa,Female,6/20/21,6
Felix,Male,6/20/21,18
Fiona,Female,6/20/21,14
Grouch,Male,6/20/21,16
Hubert,Male,6/20/21,22
Marlo,Female,6/20/21,6
Satan,Male,6/20/21,12
Ziggy,Male,6/20/21,6
Alvin,Male,6/21/21,2
April,Female,6/21/21,0
Betty,Female,6/21/21,2
Bugs,Male,6/21/21,8
Carmen,Female,6/21/21,14
Chip,Male,6/21/21,6
Dale,Male,6/21/21,0
Dot,Female,6/21/21,0
Elsa,Female,6/21/21,4
Felix,Male,6/21/21,6
Fiona,Female,6/21/21,2
Grouch,Male,6/21/21,4
Hubert,Male,6/21/21,1
Marlo,Female,6/21/21,3
Satan,Male,6/21/21,1
Ziggy,Male,6/21/21,1
Alvin,Male,6/22/21,4
April,Female,6/22/21,14
Betty,Female,6/22/21,6
Bugs,Male,6/22/21,10
Carmen,Female,6/22/21,6
Chip,Male,6/22/21,6
Dale,Male,6/22/21,0
Dot,Female,6/22/21,2
Elsa,Female,6/22/21,4
Felix,Male,6/22/21,6
Fiona,Female,6/22/21,4
Grouch,Male,6/22/21,6
Hubert,Male,6/22/21,1
Marlo,Female,6/22/21,3
Satan,Male,6/22/21,1
Ziggy,Male,6/22/21,5
Alvin,Male,6/23/21,2
April,Female,6/23/21,28
Betty,Female,6/23/21,2
Bugs,Male,6/23/21,4
Carmen,Female,6/23/21,4
Chip,Male,6/23/21,4
Dale,Male,6/23/21,0
Dot,Female,6/23/21,8
Elsa,Female,6/23/21,4
Felix,Male,6/23/21,2
Fiona,Female,6/23/21,2
Grouch,Male,6/23/21,2
Hubert,Male,6/23/21,1
Marlo,Female,6/23/21,5
Satan,Male,6/23/21,2
Ziggy,Male,6/23/21,4
Alvin,Male,6/24/21,4
April,Female,6/24/21,6
